state,time,hpiclst,ticker
0,1976q1,22.4908,EC.USD.HPI.CORELOGIC
0,1976q2,22.1446,EC.USD.HPI.CORELOGIC
0,1976q3,22.95457,EC.USD.HPI.CORELOGIC
0,1976q4,23.69817,EC.USD.HPI.CORELOGIC
0,1977q1,24.68733,EC.USD.HPI.CORELOGIC
0,1977q2,26.29293,EC.USD.HPI.CORELOGIC
0,1977q3,27.56677,EC.USD.HPI.CORELOGIC
0,1977q4,28.16647,EC.USD.HPI.CORELOGIC
0,1978q1,29.94763,EC.USD.HPI.CORELOGIC
0,1978q2,30.9066,EC.USD.HPI.CORELOGIC
0,1978q3,31.89053,EC.USD.HPI.CORELOGIC
0,1978q4,32.5813,EC.USD.HPI.CORELOGIC
0,1979q1,34.30647,EC.USD.HPI.CORELOGIC
0,1979q2,36.01857,EC.USD.HPI.CORELOGIC
0,1979q3,37.31347,EC.USD.HPI.CORELOGIC
0,1979q4,38.22383,EC.USD.HPI.CORELOGIC
0,1980q1,39.59207,EC.USD.HPI.CORELOGIC
0,1980q2,40.4466,EC.USD.HPI.CORELOGIC
0,1980q3,41.48247,EC.USD.HPI.CORELOGIC
0,1980q4,42.37473,EC.USD.HPI.CORELOGIC
0,1981q1,43.5931,EC.USD.HPI.CORELOGIC
0,1981q2,44.50347,EC.USD.HPI.CORELOGIC
0,1981q3,44.5605,EC.USD.HPI.CORELOGIC
0,1981q4,45.06587,EC.USD.HPI.CORELOGIC
0,1982q1,45.56147,EC.USD.HPI.CORELOGIC
0,1982q2,45.7829,EC.USD.HPI.CORELOGIC
0,1982q3,45.54823,EC.USD.HPI.CORELOGIC
0,1982q4,45.6302,EC.USD.HPI.CORELOGIC
0,1983q1,46.04483,EC.USD.HPI.CORELOGIC
0,1983q2,46.59324,EC.USD.HPI.CORELOGIC
0,1983q3,47.2551,EC.USD.HPI.CORELOGIC
0,1983q4,47.7025,EC.USD.HPI.CORELOGIC
0,1984q1,48.54347,EC.USD.HPI.CORELOGIC
0,1984q2,49.18593,EC.USD.HPI.CORELOGIC
0,1984q3,49.90306,EC.USD.HPI.CORELOGIC
0,1984q4,50.14673,EC.USD.HPI.CORELOGIC
0,1985q1,50.89613,EC.USD.HPI.CORELOGIC
0,1985q2,51.69893,EC.USD.HPI.CORELOGIC
