"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SG","Zach LaVine",5900,"Uta@Min 08:00PM ET",29.417,"Min"
"PF/C","Gorgui Dieng",5900,"Uta@Min 08:00PM ET",29.391,"Min"
"PF","Derrick Favors",5800,"Uta@Min 08:00PM ET",23.273,"Uta"
"SG","Dion Waiters",5700,"Bos@Mia 07:30PM ET",27.047,"Mia"
"C","Jonas Valanciunas",5700,"Phi@Tor 07:30PM ET",30.054,"Tor"
"SG","Rodney Hood",5600,"Uta@Min 08:00PM ET",27.266,"Uta"
"PG","Dennis Schroder",5500,"Atl@GS 10:30PM ET",26.938,"Atl"
"PG/SG","Darren Collison",5500,"Sac@Was 07:00PM ET",25.781,"Sac"
"SG/SF","Marcus Smart",5400,"Bos@Mia 07:30PM ET",25.788,"Bos"
"PG","Ricky Rubio",5300,"Uta@Min 08:00PM ET",23.295,"Min"
"PF","Frank Kaminsky",5200,"Cha@Mem 08:00PM ET",24.036,"Cha"
"SF","Jae Crowder",5200,"Bos@Mia 07:30PM ET",25.438,"Bos"
"SF","Justise Winslow",5200,"Bos@Mia 07:30PM ET",26.778,"Mia"
"SF/PF","Markieff Morris",5100,"Sac@Was 07:00PM ET",25.333,"Was"
"PG/SG","Tyler Johnson",5100,"Bos@Mia 07:30PM ET",25.625,"Mia"
"C","Steven Adams",5100,"OKC@NY 07:30PM ET",25.375,"OKC"
"SG/SF","Kent Bazemore",5000,"Atl@GS 10:30PM ET",22.938,"Atl"
"PF/C","Zach Randolph",5000,"Cha@Mem 08:00PM ET",26.500,"Mem"
"PF","JaMychal Green",5000,"Cha@Mem 08:00PM ET",20.941,"Mem"
"PF/C","Jahlil Okafor",5000,"Phi@Tor 07:30PM ET",18.500,"Phi"
"C","Nerlens Noel",5000,"Phi@Tor 07:30PM ET",0,"Phi"
"SF","Michael Kidd-Gilchrist",4900,"Cha@Mem 08:00PM ET",24.233,"Cha"
"SG/SF","Josh Richardson",4900,"Bos@Mia 07:30PM ET",20.417,"Mia"
"C","Cody Zeller",4800,"Cha@Mem 08:00PM ET",23.788,"Cha"
"PF/C","Trey Lyles",4700,"Uta@Min 08:00PM ET",18.382,"Uta"
"PF","Ersan Ilyasova",4600,"Phi@Tor 07:30PM ET",22.141,"Phi"
"SF/PF","James Johnson",4500,"Bos@Mia 07:30PM ET",21.234,"Mia"
"SF/PF","Matt Barnes",4400,"Sac@Was 07:00PM ET",19.219,"Sac"
"SG/SF","Jeremy Lamb",4300,"Cha@Mem 08:00PM ET",19.000,"Cha"
"C","Enes Kanter",4300,"OKC@NY 07:30PM ET",22.014,"OKC"
"SF","Robert Covington",4300,"Phi@Tor 07:30PM ET",21.141,"Phi"
"PF","Marvin Williams",4200,"Cha@Mem 08:00PM ET",21.783,"Cha"
"C","Joakim Noah",4200,"OKC@NY 07:30PM ET",21.679,"NY"
"PG","Jerryd Bayless",4200,"Phi@Tor 07:30PM ET",21.333,"Phi"
"SF/PF","DeMarre Carroll",4200,"Phi@Tor 07:30PM ET",19.135,"Tor"
"SG","Tony Allen",4100,"Cha@Mem 08:00PM ET",17.425,"Mem"
"SG/SF","Andre Roberson",4100,"OKC@NY 07:30PM ET",18.653,"OKC"
"SF/PF","Dario Saric",4100,"Phi@Tor 07:30PM ET",20.859,"Phi"
"SF","Thabo Sefolosha",4000,"Atl@GS 10:30PM ET",20.654,"Atl"
"C","Mike Muscala",4000,"Atl@GS 10:30PM ET",18.813,"Atl"
"SG/SF","Vince Carter",4000,"Cha@Mem 08:00PM ET",19.735,"Mem"
"PF/C","Spencer Hawes",4000,"Cha@Mem 08:00PM ET",18.300,"Cha"
"PG","Brandon Jennings",4000,"OKC@NY 07:30PM ET",20.219,"NY"
"C","Cole Aldrich",3900,"Uta@Min 08:00PM ET",9.297,"Min"
"SG","Marco Belinelli",3900,"Cha@Mem 08:00PM ET",19.719,"Cha"
"C","Lucas Nogueira",3900,"Phi@Tor 07:30PM ET",14.875,"Tor"
"SG","Kyle Korver",3800,"Atl@GS 10:30PM ET",18.714,"Atl"
"PG","Ty Lawson",3800,"Sac@Was 07:00PM ET",20.141,"Sac"
"PG","Tomas Satoransky",3800,"Sac@Was 07:00PM ET",11.917,"Was"
"SG","Rodney McGruder",3800,"Bos@Mia 07:30PM ET",12.650,"Mia"
"SG","Courtney Lee",3800,"OKC@NY 07:30PM ET",18.453,"NY"
"SG","Nik Stauskas",3800,"Phi@Tor 07:30PM ET",17.563,"Phi"
"PF","Patrick Patterson",3800,"Phi@Tor 07:30PM ET",20.188,"Tor"
"SG/SF","James Ennis",3700,"Cha@Mem 08:00PM ET",19.929,"Mem"
"SF","Chandler Parsons",3700,"Cha@Mem 08:00PM ET",13.750,"Mem"
"PF/C","Kelly Olynyk",3700,"Bos@Mia 07:30PM ET",16.625,"Bos"
"SG/SF","Terrence Ross",3700,"Phi@Tor 07:30PM ET",16.933,"Tor"
"SG","Troy Williams",3600,"Cha@Mem 08:00PM ET",6.854,"Mem"
"C","Willie Reed",3600,"Bos@Mia 07:30PM ET",8.825,"Mia"
"PF/C","Kyle O'Quinn",3600,"OKC@NY 07:30PM ET",12.984,"NY"
"PG","Sergio Rodriguez",3600,"Phi@Tor 07:30PM ET",22.563,"Phi"
"SG/SF","Norman Powell",3600,"Phi@Tor 07:30PM ET",11.833,"Tor"
"PF","Amir Johnson",3500,"Bos@Mia 07:30PM ET",16.719,"Bos"
"C","Guillermo Hernangomez",3500,"OKC@NY 07:30PM ET",12.615,"NY"
"SG","Gerald Henderson",3500,"Phi@Tor 07:30PM ET",17.583,"Phi"
"SG/SF","Joe Johnson",3400,"Uta@Min 08:00PM ET",18.206,"Uta"
"PG/SG","Tim Hardaway Jr.",3400,"Atl@GS 10:30PM ET",16.563,"Atl"
"PG","Shaun Livingston",3400,"Atl@GS 10:30PM ET",10.191,"GS"
"SF","Andre Iguodala",3400,"Atl@GS 10:30PM ET",16.897,"GS"
"C","Zaza Pachulia",3400,"Atl@GS 10:30PM ET",17.456,"GS"
"PG","Ramon Sessions",3400,"Cha@Mem 08:00PM ET",13.547,"Cha"
"PG","Andrew Harrison",3400,"Cha@Mem 08:00PM ET",17.266,"Mem"
"SG/SF","Justin Holiday",3400,"OKC@NY 07:30PM ET",13.438,"NY"
"PG","Cory Joseph",3400,"Phi@Tor 07:30PM ET",15.141,"Tor"
"PF","Domantas Sabonis",3300,"OKC@NY 07:30PM ET",15.125,"OKC"
"PG","Dante Exum",3200,"Uta@Min 08:00PM ET",13.029,"Uta"
"PF","Richaun Holmes",3200,"Phi@Tor 07:30PM ET",16.712,"Phi"
"SG","Arron Afflalo",3100,"Sac@Was 07:00PM ET",15.063,"Sac"
"SF/PF","Jerami Grant",3100,"OKC@NY 07:30PM ET",13.809,"OKC"
"SG/SF","Hollis Thompson",3100,"Phi@Tor 07:30PM ET",15.547,"Phi"
"PG","John Lucas III",3000,"Uta@Min 08:00PM ET",1.500,"Min"
"PG","Shelvin Mack",3000,"Uta@Min 08:00PM ET",14.191,"Uta"
"PG","Kris Dunn",3000,"Uta@Min 08:00PM ET",13.969,"Min"
"PG","Raul Neto",3000,"Uta@Min 08:00PM ET",2.143,"Uta"
"PG","Tyus Jones",3000,"Uta@Min 08:00PM ET",13.896,"Min"
"SG/SF","Brandon Rush",3000,"Uta@Min 08:00PM ET",4.639,"Min"
"SG/SF","Shabazz Muhammad",3000,"Uta@Min 08:00PM ET",10.365,"Min"
"SG","Alec Burks",3000,"Uta@Min 08:00PM ET",0,"Uta"
"SF","Joe Ingles",3000,"Uta@Min 08:00PM ET",10.294,"Uta"
"PF/C","Boris Diaw",3000,"Uta@Min 08:00PM ET",7.594,"Uta"
"PF","Jordan Hill",3000,"Uta@Min 08:00PM ET",6.250,"Min"
"PF","Nemanja Bjelica",3000,"Uta@Min 08:00PM ET",14.328,"Min"
"PF","Adreian Payne",3000,"Uta@Min 08:00PM ET",11.357,"Min"
"PF","Joel Bolomboy",3000,"Uta@Min 08:00PM ET",3.143,"Uta"
"C","Nikola Pekovic",3000,"Uta@Min 08:00PM ET",0,"Min"
"C","Jeff Withey",3000,"Uta@Min 08:00PM ET",7.519,"Uta"
"PG/SG","Ian Clark",3000,"Atl@GS 10:30PM ET",10.821,"GS"
"PG","Malcolm Delaney",3000,"Atl@GS 10:30PM ET",13.766,"Atl"
"SG/SF","Patrick McCaw",3000,"Atl@GS 10:30PM ET",8.854,"GS"
"SF","Ryan Kelly",3000,"Atl@GS 10:30PM ET",4.750,"Atl"
"SF","Taurean Prince",3000,"Atl@GS 10:30PM ET",10.000,"Atl"
"SF","DeAndre' Bembry",3000,"Atl@GS 10:30PM ET",2.708,"Atl"
"PF","David West",3000,"Atl@GS 10:30PM ET",11.397,"GS"
"PF","Kris Humphries",3000,"Atl@GS 10:30PM ET",9.536,"Atl"
"PF","Mike Scott",3000,"Atl@GS 10:30PM ET",0,"Atl"
"PF","James Michael McAdoo",3000,"Atl@GS 10:30PM ET",3.000,"GS"
"PF","Kevon Looney",3000,"Atl@GS 10:30PM ET",9.067,"GS"
"C","Anderson Varejao",3000,"Atl@GS 10:30PM ET",6.250,"GS"
"C","JaVale McGee",3000,"Atl@GS 10:30PM ET",8.288,"GS"
"C","Tiago Splitter",3000,"Atl@GS 10:30PM ET",0,"Atl"
"C","Damian Jones",3000,"Atl@GS 10:30PM ET",0,"GS"
"PG/SG","Garrett Temple",3000,"Sac@Was 07:00PM ET",14.188,"Sac"
"PG","Trey Burke",3000,"Sac@Was 07:00PM ET",7.750,"Was"
"SG/SF","Kelly Oubre Jr.",3000,"Sac@Was 07:00PM ET",7.946,"Was"
"SG","Marcus Thornton",3000,"Sac@Was 07:00PM ET",13.633,"Was"
"SG","Ben McLemore",3000,"Sac@Was 07:00PM ET",9.946,"Sac"
"SG","Sheldon McClellan",3000,"Sac@Was 07:00PM ET",7.321,"Was"
"SG","Danuel House",3000,"Sac@Was 07:00PM ET",1.250,"Was"
"SG","Malachi Richardson",3000,"Sac@Was 07:00PM ET",1.750,"Sac"
"SF","Anthony Tolliver",3000,"Sac@Was 07:00PM ET",6.375,"Sac"
"SF","Omri Casspi",3000,"Sac@Was 07:00PM ET",10.893,"Sac"
"PF/C","Jason Smith",3000,"Sac@Was 07:00PM ET",6.268,"Was"
"PF","Andrew Nicholson",3000,"Sac@Was 07:00PM ET",8.250,"Was"
"PF","Skal Labissiere",3000,"Sac@Was 07:00PM ET",11.750,"Sac"
"C","Ian Mahinmi",3000,"Sac@Was 07:00PM ET",5.250,"Was"
"C","Kosta Koufos",3000,"Sac@Was 07:00PM ET",15.719,"Sac"
"C","Daniel Ochefu",3000,"Sac@Was 07:00PM ET",1.750,"Was"
"C","Willie Cauley-Stein",3000,"Sac@Was 07:00PM ET",9.125,"Sac"
"C","Georgios Papagiannis",3000,"Sac@Was 07:00PM ET",2.750,"Sac"
"PG","Brian Roberts",3000,"Cha@Mem 08:00PM ET",2.750,"Cha"
"PG","Aaron Harrison",3000,"Cha@Mem 08:00PM ET",1.375,"Cha"
"PG","Wade Baldwin IV",3000,"Cha@Mem 08:00PM ET",10.475,"Mem"
"SG","Troy Daniels",3000,"Cha@Mem 08:00PM ET",4.708,"Mem"
"SF","Treveon Graham",3000,"Cha@Mem 08:00PM ET",4.917,"Cha"
"PF","Brandan Wright",3000,"Cha@Mem 08:00PM ET",0,"Mem"
"PF","Jarell Martin",3000,"Cha@Mem 08:00PM ET",9.406,"Mem"
"PF","Christian Wood",3000,"Cha@Mem 08:00PM ET",2.500,"Cha"
"C","Roy Hibbert",3000,"Cha@Mem 08:00PM ET",12.977,"Cha"
"C","Deyonta Davis",3000,"Cha@Mem 08:00PM ET",5.731,"Mem"
"PG","Demetrius Jackson",3000,"Bos@Mia 07:30PM ET",5.750,"Bos"
"PG","Terry Rozier",3000,"Bos@Mia 07:30PM ET",15.719,"Bos"
"SG","Gerald Green",3000,"Bos@Mia 07:30PM ET",9.300,"Bos"
"SG","Wayne Ellington",3000,"Bos@Mia 07:30PM ET",0,"Mia"
"SG","James Young",3000,"Bos@Mia 07:30PM ET",3.750,"Bos"
"SF","Jaylen Brown",3000,"Bos@Mia 07:30PM ET",11.578,"Bos"
"PF","Chris Bosh",3000,"Bos@Mia 07:30PM ET",0,"Mia"
"PF","Udonis Haslem",3000,"Bos@Mia 07:30PM ET",3.500,"Mia"
"PF","Luke Babbitt",3000,"Bos@Mia 07:30PM ET",8.125,"Mia"
"PF","Jonas Jerebko",3000,"Bos@Mia 07:30PM ET",11.781,"Bos"
"PF","Derrick Williams",3000,"Bos@Mia 07:30PM ET",10.475,"Mia"
"PF","Jordan Mickey",3000,"Bos@Mia 07:30PM ET",5.000,"Bos"
"C","Josh McRoberts",3000,"Bos@Mia 07:30PM ET",11.000,"Mia"
"C","Tyler Zeller",3000,"Bos@Mia 07:30PM ET",14.203,"Bos"
"PG","Semaj Christon",3000,"OKC@NY 07:30PM ET",7.838,"OKC"
"PG","Cameron Payne",3000,"OKC@NY 07:30PM ET",0,"OKC"
"SG","Sasha Vujacic",3000,"OKC@NY 07:30PM ET",3.700,"NY"
"SG","Anthony Morrow",3000,"OKC@NY 07:30PM ET",7.271,"OKC"
"SG","Ron Baker",3000,"OKC@NY 07:30PM ET",6.250,"NY"
"SG","Alex Abrines",3000,"OKC@NY 07:30PM ET",6.797,"OKC"
"SF/PF","Lance Thomas",3000,"OKC@NY 07:30PM ET",8.781,"NY"
"SF","Kyle Singler",3000,"OKC@NY 07:30PM ET",4.575,"OKC"
"SF","Josh Huestis",3000,"OKC@NY 07:30PM ET",0,"OKC"
"SF","Mindaugas Kuzminskas",3000,"OKC@NY 07:30PM ET",8.596,"NY"
"PF/C","Joffrey Lauvergne",3000,"OKC@NY 07:30PM ET",13.156,"OKC"
"PF","Maurice Ndour",3000,"OKC@NY 07:30PM ET",6.344,"NY"
"C","Nick Collison",3000,"OKC@NY 07:30PM ET",1.900,"OKC"
"C","Marshall Plumlee",3000,"OKC@NY 07:30PM ET",1.250,"NY"
"PG","T.J. McConnell",3000,"Phi@Tor 07:30PM ET",14.578,"Phi"
"PG","Fred VanVleet",3000,"Phi@Tor 07:30PM ET",0.000,"Tor"
"PG","Delon Wright",3000,"Phi@Tor 07:30PM ET",0,"Tor"
"SG","Timothe Luwawu-Cabarrot",3000,"Phi@Tor 07:30PM ET",3.525,"Phi"
"SF","Bruno Caboclo",3000,"Phi@Tor 07:30PM ET",0,"Tor"
"SF","Ben Simmons",3000,"Phi@Tor 07:30PM ET",0,"Phi"
"PF","Pascal Siakam",3000,"Phi@Tor 07:30PM ET",12.828,"Tor"
"C","Jared Sullinger",3000,"Phi@Tor 07:30PM ET",0,"Tor"
"C","Jakob Poeltl",3000,"Phi@Tor 07:30PM ET",11.719,"Tor"
