"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Russell Westbrook",12500,"OKC@NY 07:30PM ET",64.236,"OKC"
"PF/C","DeMarcus Cousins",10100,"Sac@Was 07:00PM ET",49.172,"Sac"
"SF/PF","Kevin Durant",9900,"Atl@GS 10:30PM ET",51.368,"GS"
"PG","Stephen Curry",9300,"Atl@GS 10:30PM ET",45.074,"GS"
"PG","John Wall",8700,"Sac@Was 07:00PM ET",46.077,"Was"
"C","Hassan Whiteside",8500,"Bos@Mia 07:30PM ET",43.359,"Mia"
"SG","DeMar DeRozan",8400,"Phi@Tor 07:30PM ET",44.641,"Tor"
"PG","Kyle Lowry",8100,"Phi@Tor 07:30PM ET",41.047,"Tor"
"C","Karl-Anthony Towns",8000,"Uta@Min 08:00PM ET",41.469,"Min"
"PG","Kemba Walker",7900,"Cha@Mem 08:00PM ET",42.297,"Cha"
"SF","Carmelo Anthony",7700,"OKC@NY 07:30PM ET",37.547,"NY"
"PF/C","Draymond Green",7600,"Atl@GS 10:30PM ET",39.781,"GS"
"PG","Isaiah Thomas",7600,"Bos@Mia 07:30PM ET",40.781,"Bos"
"PF","Kristaps Porzingis",7500,"OKC@NY 07:30PM ET",36.219,"NY"
"C","Dwight Howard",7300,"Atl@GS 10:30PM ET",37.417,"Atl"
"PF","Paul Millsap",7200,"Atl@GS 10:30PM ET",36.922,"Atl"
"SF","Gordon Hayward",7100,"Uta@Min 08:00PM ET",36.636,"Uta"
"SG","Bradley Beal",6900,"Sac@Was 07:00PM ET",31.938,"Was"
"SF/PF","Rudy Gay",6800,"Sac@Was 07:00PM ET",35.600,"Sac"
"C","Marc Gasol",6700,"Cha@Mem 08:00PM ET",35.328,"Mem"
"PG/SG","George Hill",6600,"Uta@Min 08:00PM ET",35.056,"Uta"
"SG/SF","Nicolas Batum",6600,"Cha@Mem 08:00PM ET",33.917,"Cha"
"C","Al Horford",6600,"Bos@Mia 07:30PM ET",37.643,"Bos"
"SG","Victor Oladipo",6600,"OKC@NY 07:30PM ET",29.736,"OKC"
"SF","Andrew Wiggins",6500,"Uta@Min 08:00PM ET",33.047,"Min"
"PG","Mike Conley",6500,"Cha@Mem 08:00PM ET",37.031,"Mem"
"C","Rudy Gobert",6400,"Uta@Min 08:00PM ET",31.500,"Uta"
"SG","Avery Bradley",6400,"Bos@Mia 07:30PM ET",35.906,"Bos"
"C","Joel Embiid",6400,"Phi@Tor 07:30PM ET",34.091,"Phi"
"SG","Klay Thompson",6300,"Atl@GS 10:30PM ET",30.029,"GS"
"SF/PF","Otto Porter",6100,"Sac@Was 07:00PM ET",32.667,"Was"
"C","Marcin Gortat",6000,"Sac@Was 07:00PM ET",31.833,"Was"
"PG","Goran Dragic",6000,"Bos@Mia 07:30PM ET",30.386,"Mia"
"PG","Derrick Rose",6000,"OKC@NY 07:30PM ET",30.203,"NY"
