"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"C","Guillermo Hernangomez",3200,"NY@Sac 10:30PM ET",12.921,"NY"
"SG/SF","Justin Anderson",3200,"Ind@Dal 08:30PM ET",16.345,"Dal"
"PG","Marcelo Huertas",3200,"Pho@LAL 10:30PM ET",9.386,"LAL"
"C","Timofey Mozgov",3200,"Pho@LAL 10:30PM ET",16.630,"LAL"
"PF","Amir Johnson",3100,"Tor@Bos 07:30PM ET",15.943,"Bos"
"SF/PF","Jerami Grant",3100,"Hou@OKC 08:00PM ET",13.440,"OKC"
"PG","Fred VanVleet",3000,"Tor@Bos 07:30PM ET",3.050,"Tor"
"PG","Delon Wright",3000,"Tor@Bos 07:30PM ET",0,"Tor"
"PG","Demetrius Jackson",3000,"Tor@Bos 07:30PM ET",5.000,"Bos"
"SG","Gerald Green",3000,"Tor@Bos 07:30PM ET",8.438,"Bos"
"SG","James Young",3000,"Tor@Bos 07:30PM ET",3.523,"Bos"
"SF","Bruno Caboclo",3000,"Tor@Bos 07:30PM ET",5.333,"Tor"
"SF","Jaylen Brown",3000,"Tor@Bos 07:30PM ET",10.102,"Bos"
"PF","Jonas Jerebko",3000,"Tor@Bos 07:30PM ET",12.364,"Bos"
"PF","Jordan Mickey",3000,"Tor@Bos 07:30PM ET",5.306,"Bos"
"PF","Pascal Siakam",3000,"Tor@Bos 07:30PM ET",13.774,"Tor"
"C","Tyler Zeller",3000,"Tor@Bos 07:30PM ET",12.298,"Bos"
"C","Jared Sullinger",3000,"Tor@Bos 07:30PM ET",0,"Tor"
"C","Jakob Poeltl",3000,"Tor@Bos 07:30PM ET",9.932,"Tor"
"PG","Jason Terry",3000,"Atl@Mil 08:00PM ET",7.283,"Mil"
"PG","Malcolm Delaney",3000,"Atl@Mil 08:00PM ET",12.522,"Atl"
"SG","Khris Middleton",3000,"Atl@Mil 08:00PM ET",0,"Mil"
"SG","Rashad Vaughn",3000,"Atl@Mil 08:00PM ET",8.591,"Mil"
"SF","Steve Novak",3000,"Atl@Mil 08:00PM ET",0.625,"Mil"
"SF","Ryan Kelly",3000,"Atl@Mil 08:00PM ET",4.281,"Atl"
"SF","Taurean Prince",3000,"Atl@Mil 08:00PM ET",9.233,"Atl"
"SF","DeAndre' Bembry",3000,"Atl@Mil 08:00PM ET",2.281,"Atl"
"PF","Mike Scott",3000,"Atl@Mil 08:00PM ET",6.667,"Atl"
"PF","Mirza Teletovic",3000,"Atl@Mil 08:00PM ET",12.458,"Mil"
"PF","Thon Maker",3000,"Atl@Mil 08:00PM ET",4.333,"Mil"
"C","Kris Humphries",3000,"Atl@Mil 08:00PM ET",9.408,"Atl"
"C","Tiago Splitter",3000,"Atl@Mil 08:00PM ET",0,"Atl"
"C","Miles Plumlee",3000,"Atl@Mil 08:00PM ET",8.103,"Mil"
"PG","John Lucas III",3000,"Det@Min 08:00PM ET",1.500,"Min"
"PG","Beno Udrih",3000,"Det@Min 08:00PM ET",14.702,"Det"
"PG","Kris Dunn",3000,"Det@Min 08:00PM ET",13.690,"Min"
"PG","Tyus Jones",3000,"Det@Min 08:00PM ET",12.607,"Min"
"SG/SF","Shabazz Muhammad",3000,"Det@Min 08:00PM ET",10.806,"Min"
"SG/SF","Stanley Johnson",3000,"Det@Min 08:00PM ET",8.688,"Det"
"SG","Brandon Rush",3000,"Det@Min 08:00PM ET",4.639,"Min"
"SG","Darrun Hilliard",3000,"Det@Min 08:00PM ET",7.214,"Det"
"SF/PF","Nemanja Bjelica",3000,"Det@Min 08:00PM ET",14.810,"Min"
"SF","Reggie Bullock",3000,"Det@Min 08:00PM ET",7.563,"Det"
"SF","Michael Gbinije",3000,"Det@Min 08:00PM ET",1.333,"Det"
"PF","Jordan Hill",3000,"Det@Min 08:00PM ET",6.250,"Min"
"PF","Adreian Payne",3000,"Det@Min 08:00PM ET",11.357,"Min"
"PF","Henry Ellenson",3000,"Det@Min 08:00PM ET",2.200,"Det"
"C","Nikola Pekovic",3000,"Det@Min 08:00PM ET",0,"Min"
"C","Boban Marjanovic",3000,"Det@Min 08:00PM ET",5.417,"Det"
"PG","Semaj Christon",3000,"Hou@OKC 08:00PM ET",8.262,"OKC"
"PG","Tyler Ennis",3000,"Hou@OKC 08:00PM ET",5.850,"Hou"
"PG","Cameron Payne",3000,"Hou@OKC 08:00PM ET",0,"OKC"
"SG/SF","Corey Brewer",3000,"Hou@OKC 08:00PM ET",9.750,"Hou"
"SG/SF","Anthony Morrow",3000,"Hou@OKC 08:00PM ET",9.078,"OKC"
"SG","Alex Abrines",3000,"Hou@OKC 08:00PM ET",6.797,"OKC"
"SF","Kyle Singler",3000,"Hou@OKC 08:00PM ET",4.575,"OKC"
"SF","Josh Huestis",3000,"Hou@OKC 08:00PM ET",0,"OKC"
"SF","K.J. McDaniels",3000,"Hou@OKC 08:00PM ET",8.071,"Hou"
"PF/C","Joffrey Lauvergne",3000,"Hou@OKC 08:00PM ET",13.163,"OKC"
"PF","Kyle Wiltjer",3000,"Hou@OKC 08:00PM ET",1.563,"Hou"
"C","Nick Collison",3000,"Hou@OKC 08:00PM ET",1.900,"OKC"
"C","Nene Hilario",3000,"Hou@OKC 08:00PM ET",14.764,"Hou"
"C","Chinanu Onuaku",3000,"Hou@OKC 08:00PM ET",0,"Hou"
"PG/SG","C.J. Watson",3000,"Orl@Cha 07:00PM ET",6.597,"Orl"
"PG","Brian Roberts",3000,"Orl@Cha 07:00PM ET",3.000,"Cha"
"PG","Aaron Harrison",3000,"Orl@Cha 07:00PM ET",1.625,"Cha"
"SG","Jodie Meeks",3000,"Orl@Cha 07:00PM ET",16.125,"Orl"
"SG","C.J. Wilcox",3000,"Orl@Cha 07:00PM ET",2.083,"Orl"
"SF","Treveon Graham",3000,"Orl@Cha 07:00PM ET",4.500,"Cha"
"SF","Damjan Rudez",3000,"Orl@Cha 07:00PM ET",3.646,"Orl"
"SF","Mario Hezonja",3000,"Orl@Cha 07:00PM ET",7.339,"Orl"
"PF/C","Spencer Hawes",3000,"Orl@Cha 07:00PM ET",16.975,"Cha"
"PF","Arinze Onuaku",3000,"Orl@Cha 07:00PM ET",1.750,"Orl"
"PF","Christian Wood",3000,"Orl@Cha 07:00PM ET",2.500,"Cha"
"PF","Stephen Zimmerman Jr.",3000,"Orl@Cha 07:00PM ET",4.250,"Orl"
"C","Roy Hibbert",3000,"Orl@Cha 07:00PM ET",13.588,"Cha"
"PG/SG","Garrett Temple",3000,"NY@Sac 10:30PM ET",14.631,"Sac"
"SG","Sasha Vujacic",3000,"NY@Sac 10:30PM ET",5.982,"NY"
"SG","Arron Afflalo",3000,"NY@Sac 10:30PM ET",13.975,"Sac"
"SG","Ben McLemore",3000,"NY@Sac 10:30PM ET",9.797,"Sac"
"SG","Ron Baker",3000,"NY@Sac 10:30PM ET",5.625,"NY"
"SG","Malachi Richardson",3000,"NY@Sac 10:30PM ET",1.750,"Sac"
"SF/PF","Lance Thomas",3000,"NY@Sac 10:30PM ET",9.229,"NY"
"SF","Omri Casspi",3000,"NY@Sac 10:30PM ET",12.708,"Sac"
"SF","Mindaugas Kuzminskas",3000,"NY@Sac 10:30PM ET",8.658,"NY"
"PF","Anthony Tolliver",3000,"NY@Sac 10:30PM ET",5.833,"Sac"
"PF","Maurice Ndour",3000,"NY@Sac 10:30PM ET",5.045,"NY"
"PF","Skal Labissiere",3000,"NY@Sac 10:30PM ET",11.750,"Sac"
"C","Kosta Koufos",3000,"NY@Sac 10:30PM ET",14.726,"Sac"
"C","Marshall Plumlee",3000,"NY@Sac 10:30PM ET",7.500,"NY"
"C","Willie Cauley-Stein",3000,"NY@Sac 10:30PM ET",9.485,"Sac"
"C","Georgios Papagiannis",3000,"NY@Sac 10:30PM ET",2.750,"Sac"
"PG","Mo Williams",3000,"Mia@Cle 07:30PM ET",0,"Cle"
"PG","Kay Felder",3000,"Mia@Cle 07:30PM ET",6.875,"Cle"
"SG/SF","Mike Dunleavy",3000,"Mia@Cle 07:30PM ET",8.219,"Cle"
"SG","James Jones",3000,"Mia@Cle 07:30PM ET",5.068,"Cle"
"SG","DeAndre Liggins",3000,"Mia@Cle 07:30PM ET",6.708,"Cle"
"SG","Jordan McRae",3000,"Mia@Cle 07:30PM ET",7.091,"Cle"
"SF/PF","Luke Babbitt",3000,"Mia@Cle 07:30PM ET",8.355,"Mia"
"SF","Richard Jefferson",3000,"Mia@Cle 07:30PM ET",10.138,"Cle"
"SF","Derrick Williams",3000,"Mia@Cle 07:30PM ET",10.827,"Mia"
"PF","Chris Bosh",3000,"Mia@Cle 07:30PM ET",0,"Mia"
"PF","Udonis Haslem",3000,"Mia@Cle 07:30PM ET",3.143,"Mia"
"C","Chris Andersen",3000,"Mia@Cle 07:30PM ET",7.750,"Cle"
"PG","Devin Harris",3000,"Ind@Dal 08:30PM ET",10.150,"Dal"
"PG","Aaron Brooks",3000,"Ind@Dal 08:30PM ET",12.066,"Ind"
"SG","Jonathan Gibson",3000,"Ind@Dal 08:30PM ET",15.886,"Dal"
"SG","Joe Young",3000,"Ind@Dal 08:30PM ET",5.917,"Ind"
"SG","Nicolas Brussino",3000,"Ind@Dal 08:30PM ET",5.844,"Dal"
"SF","Dorian Finney-Smith",3000,"Ind@Dal 08:30PM ET",9.538,"Dal"
"PF","Lavoy Allen",3000,"Ind@Dal 08:30PM ET",8.274,"Ind"
"PF","Rakeem Christmas",3000,"Ind@Dal 08:30PM ET",3.417,"Ind"
"PF","Georges Niang",3000,"Ind@Dal 08:30PM ET",2.712,"Ind"
"C","Kevin Seraphin",3000,"Ind@Dal 08:30PM ET",10.792,"Ind"
"C","A.J. Hammons",3000,"Ind@Dal 08:30PM ET",4.444,"Dal"
"PG","Jose Calderon",3000,"Pho@LAL 10:30PM ET",11.768,"LAL"
"PG","Tyler Ulis",3000,"Pho@LAL 10:30PM ET",9.327,"Pho"
"SG","Leandro Barbosa",3000,"Pho@LAL 10:30PM ET",9.893,"Pho"
"SG","John Jenkins",3000,"Pho@LAL 10:30PM ET",2.250,"Pho"
"SF","Metta World Peace",3000,"Pho@LAL 10:30PM ET",4.125,"LAL"
"SF","Derrick Jones Jr.",3000,"Pho@LAL 10:30PM ET",0.000,"Pho"
"PF","Thomas Robinson",3000,"Pho@LAL 10:30PM ET",7.883,"LAL"
"PF","Marquese Chriss",3000,"Pho@LAL 10:30PM ET",12.534,"Pho"
"PF","Dragan Bender",3000,"Pho@LAL 10:30PM ET",6.735,"Pho"
"C","Tarik Black",3000,"Pho@LAL 10:30PM ET",14.870,"LAL"
"C","Alan Williams",3000,"Pho@LAL 10:30PM ET",13.750,"Pho"
"C","Ivica Zubac",3000,"Pho@LAL 10:30PM ET",4.500,"LAL"
