"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Russell Westbrook",12800,"Hou@OKC 08:00PM ET",65.830,"OKC"
"PG/SG","James Harden",11500,"Hou@OKC 08:00PM ET",58.898,"Hou"
"PF/C","DeMarcus Cousins",10900,"NY@Sac 10:30PM ET",52.702,"Sac"
"PG","Giannis Antetokounmpo",10000,"Atl@Mil 08:00PM ET",50.650,"Mil"
"SF/PF","LeBron James",9600,"Mia@Cle 07:30PM ET",50.329,"Cle"
"C","Hassan Whiteside",8800,"Mia@Cle 07:30PM ET",43.648,"Mia"
"PF/C","Karl-Anthony Towns",8300,"Det@Min 08:00PM ET",43.583,"Min"
"PG","Kyle Lowry",8100,"Tor@Bos 07:30PM ET",41.893,"Tor"
"SF/PF","Paul George",8000,"Ind@Dal 08:30PM ET",39.650,"Ind"
"SG","DeMar DeRozan",7900,"Tor@Bos 07:30PM ET",42.881,"Tor"
"PF","Kristaps Porzingis",7700,"NY@Sac 10:30PM ET",36.261,"NY"
"C","Andre Drummond",7600,"Det@Min 08:00PM ET",38.826,"Det"
"PF/C","Kevin Love",7600,"Mia@Cle 07:30PM ET",40.563,"Cle"
"PF","Paul Millsap",7500,"Atl@Mil 08:00PM ET",36.925,"Atl"
"PG","Goran Dragic",7500,"Mia@Cle 07:30PM ET",34.632,"Mia"
"PG","Eric Bledsoe",7400,"Pho@LAL 10:30PM ET",36.443,"Pho"
"PG","Isaiah Thomas",7300,"Tor@Bos 07:30PM ET",40.774,"Bos"
"SF","Carmelo Anthony",7300,"NY@Sac 10:30PM ET",36.443,"NY"
"C","Dwight Howard",7200,"Atl@Mil 08:00PM ET",36.193,"Atl"
"PG","Kemba Walker",7200,"Orl@Cha 07:00PM ET",40.352,"Cha"
"PG","Kyrie Irving",7100,"Mia@Cle 07:30PM ET",37.238,"Cle"
"C","Al Horford",6900,"Tor@Bos 07:30PM ET",37.438,"Bos"
"SF/PF","Rudy Gay",6700,"NY@Sac 10:30PM ET",36.063,"Sac"
"SG","Lou Williams",6600,"Pho@LAL 10:30PM ET",29.417,"LAL"
"SG","Avery Bradley",6500,"Tor@Bos 07:30PM ET",34.886,"Bos"
"SG","Victor Oladipo",6500,"Hou@OKC 08:00PM ET",29.977,"OKC"
"SG/SF","Nicolas Batum",6500,"Orl@Cha 07:00PM ET",34.274,"Cha"
"PG","Jeff Teague",6500,"Ind@Dal 08:30PM ET",34.682,"Ind"
"SF/PF","Jabari Parker",6400,"Atl@Mil 08:00PM ET",32.213,"Mil"
"SF","Andrew Wiggins",6300,"Det@Min 08:00PM ET",32.202,"Min"
"PG","D'Angelo Russell",6300,"Pho@LAL 10:30PM ET",30.500,"LAL"
"PG","Derrick Rose",6200,"NY@Sac 10:30PM ET",30.345,"NY"
"SF/PF","Harrison Barnes",6100,"Ind@Dal 08:30PM ET",31.024,"Dal"
"PG","Dennis Schroder",6000,"Atl@Mil 08:00PM ET",30.022,"Atl"
"SG","Zach LaVine",6000,"Det@Min 08:00PM ET",30.500,"Min"
"PF/C","Serge Ibaka",6000,"Orl@Cha 07:00PM ET",28.750,"Orl"
"PG","Deron Williams",6000,"Ind@Dal 08:30PM ET",25.288,"Dal"
"PF","Julius Randle",6000,"Pho@LAL 10:30PM ET",30.595,"LAL"
"C","Nikola Vucevic",5900,"Orl@Cha 07:00PM ET",33.772,"Orl"
"C","Myles Turner",5900,"Ind@Dal 08:30PM ET",31.143,"Ind"
"SG/SF","Devin Booker",5900,"Pho@LAL 10:30PM ET",28.214,"Pho"
"SF/PF","Tobias Harris",5800,"Det@Min 08:00PM ET",28.542,"Det"
"SF","Jae Crowder",5700,"Tor@Bos 07:30PM ET",26.661,"Bos"
"SG","Kentavious Caldwell-Pope",5600,"Det@Min 08:00PM ET",26.760,"Det"
"C","Clint Capela",5600,"Hou@OKC 08:00PM ET",28.295,"Hou"
"SG","Dion Waiters",5600,"Mia@Cle 07:30PM ET",27.078,"Mia"
"SG/SF","Marcus Smart",5500,"Tor@Bos 07:30PM ET",23.842,"Bos"
"SG","Eric Gordon",5500,"Hou@OKC 08:00PM ET",27.443,"Hou"
"SF/PF","Trevor Ariza",5500,"Hou@OKC 08:00PM ET",27.489,"Hou"
"PG","Tyler Johnson",5500,"Mia@Cle 07:30PM ET",27.119,"Mia"
"PF/C","Gorgui Dieng",5400,"Det@Min 08:00PM ET",27.702,"Min"
"PG/SG","Jordan Clarkson",5400,"Pho@LAL 10:30PM ET",24.208,"LAL"
"SF","T.J. Warren",5400,"Pho@LAL 10:30PM ET",28.846,"Pho"
"SG","Evan Fournier",5300,"Orl@Cha 07:00PM ET",27.391,"Orl"
"PG","Brandon Jennings",5300,"NY@Sac 10:30PM ET",20.136,"NY"
"PG","Reggie Jackson",5200,"Det@Min 08:00PM ET",22.417,"Det"
"SF/PF","Marcus Morris",5100,"Det@Min 08:00PM ET",24.688,"Det"
"SG","Wesley Matthews",5100,"Ind@Dal 08:30PM ET",25.750,"Dal"
"C","Steven Adams",5000,"Hou@OKC 08:00PM ET",24.739,"OKC"
"PG/SG","Darren Collison",5000,"NY@Sac 10:30PM ET",25.231,"Sac"
"PG","J.J. Barea",5000,"Ind@Dal 08:30PM ET",30.361,"Dal"
"PF","Dirk Nowitzki",5000,"Ind@Dal 08:30PM ET",24.800,"Dal"
"C","Jonas Valanciunas",4900,"Tor@Bos 07:30PM ET",27.105,"Tor"
"PG","Ricky Rubio",4900,"Det@Min 08:00PM ET",23.875,"Min"
"SF","Justise Winslow",4900,"Mia@Cle 07:30PM ET",26.722,"Mia"
"C","Tristan Thompson",4900,"Mia@Cle 07:30PM ET",24.925,"Cle"
"PG","Patrick Beverley",4800,"Hou@OKC 08:00PM ET",24.591,"Hou"
"SG/SF","Josh Richardson",4800,"Mia@Cle 07:30PM ET",20.538,"Mia"
"PF","Ryan Anderson",4700,"Hou@OKC 08:00PM ET",23.182,"Hou"
"PF/C","Dwight Powell",4700,"Ind@Dal 08:30PM ET",17.988,"Dal"
"PF","Thaddeus Young",4700,"Ind@Dal 08:30PM ET",24.409,"Ind"
"SG/SF","Kent Bazemore",4600,"Atl@Mil 08:00PM ET",22.625,"Atl"
"PG/SG","Brandon Knight",4600,"Pho@LAL 10:30PM ET",21.648,"Pho"
"C","John Henson",4500,"Atl@Mil 08:00PM ET",19.625,"Mil"
"SF","Wayne Ellington",4500,"Mia@Cle 07:30PM ET",24.125,"Mia"
"PF","James Johnson",4500,"Mia@Cle 07:30PM ET",21.663,"Mia"
"SG","Seth Curry",4500,"Ind@Dal 08:30PM ET",19.779,"Dal"
"SF","Thabo Sefolosha",4400,"Atl@Mil 08:00PM ET",20.300,"Atl"
"C","Greg Monroe",4400,"Atl@Mil 08:00PM ET",24.171,"Mil"
"C","Enes Kanter",4400,"Hou@OKC 08:00PM ET",23.466,"OKC"
"SF","Brandon Ingram",4400,"Pho@LAL 10:30PM ET",17.479,"LAL"
"C","Tyson Chandler",4400,"Pho@LAL 10:30PM ET",23.804,"Pho"
"PF","Jon Leuer",4300,"Det@Min 08:00PM ET",22.927,"Det"
"PG","Elfrid Payton",4300,"Orl@Cha 07:00PM ET",26.587,"Orl"
"SF","Michael Kidd-Gilchrist",4300,"Orl@Cha 07:00PM ET",23.845,"Cha"
"C","Bismack Biyombo",4300,"Orl@Cha 07:00PM ET",20.284,"Orl"
"SG","Nick Young",4300,"Pho@LAL 10:30PM ET",20.264,"LAL"
"SF/PF","Larry Nance Jr.",4300,"Pho@LAL 10:30PM ET",19.429,"LAL"
"SG/SF","Andre Roberson",4200,"Hou@OKC 08:00PM ET",19.080,"OKC"
"PF","Marvin Williams",4200,"Orl@Cha 07:00PM ET",21.750,"Cha"
"SF/PF","DeMarre Carroll",4100,"Tor@Bos 07:30PM ET",19.632,"Tor"
"SF/PF","Matt Barnes",4100,"NY@Sac 10:30PM ET",19.595,"Sac"
"SG/SF","C.J. Miles",4100,"Ind@Dal 08:30PM ET",20.203,"Ind"
"SG","Monta Ellis",4100,"Ind@Dal 08:30PM ET",22.739,"Ind"
"C","Andrew Bogut",4100,"Ind@Dal 08:30PM ET",22.188,"Dal"
"SG/SF","Norman Powell",4000,"Tor@Bos 07:30PM ET",11.691,"Tor"
"PF","Patrick Patterson",4000,"Tor@Bos 07:30PM ET",21.036,"Tor"
"PG/SG","Matthew Dellavedova",4000,"Atl@Mil 08:00PM ET",21.938,"Mil"
"PG/SG","Tim Hardaway Jr.",4000,"Atl@Mil 08:00PM ET",17.076,"Atl"
"PF/C","Mike Muscala",4000,"Atl@Mil 08:00PM ET",18.326,"Atl"
"PG","Ish Smith",4000,"Det@Min 08:00PM ET",25.438,"Det"
"SF/PF","Aaron Gordon",4000,"Orl@Cha 07:00PM ET",20.533,"Orl"
"PF","Frank Kaminsky",4000,"Orl@Cha 07:00PM ET",22.388,"Cha"
"C","Cody Zeller",4000,"Orl@Cha 07:00PM ET",22.539,"Cha"
"PF/C","Kyle O'Quinn",4000,"NY@Sac 10:30PM ET",16.011,"NY"
"SF","P.J. Tucker",4000,"Pho@LAL 10:30PM ET",16.364,"Pho"
"C","Lucas Nogueira",3900,"Tor@Bos 07:30PM ET",16.750,"Tor"
"C","Cole Aldrich",3900,"Det@Min 08:00PM ET",10.845,"Min"
"SG","Rodney McGruder",3900,"Mia@Cle 07:30PM ET",14.905,"Mia"
"PF/C","Josh McRoberts",3900,"Mia@Cle 07:30PM ET",13.250,"Mia"
"PG","Terry Rozier",3800,"Tor@Bos 07:30PM ET",15.398,"Bos"
"C","Aron Baynes",3800,"Det@Min 08:00PM ET",11.792,"Det"
"SF","Sam Dekker",3800,"Hou@OKC 08:00PM ET",15.273,"Hou"
"SG","Courtney Lee",3800,"NY@Sac 10:30PM ET",19.050,"NY"
"C","Alex Len",3800,"Pho@LAL 10:30PM ET",23.000,"Pho"
"SG/SF","Terrence Ross",3700,"Tor@Bos 07:30PM ET",17.138,"Tor"
"SG/SF","Kyle Korver",3700,"Atl@Mil 08:00PM ET",17.429,"Atl"
"PG","D.J. Augustin",3700,"Orl@Cha 07:00PM ET",16.272,"Orl"
"SF/PF","Jeff Green",3700,"Orl@Cha 07:00PM ET",16.580,"Orl"
"SF","Glenn Robinson III",3700,"Ind@Dal 08:30PM ET",12.538,"Ind"
"PG","Cory Joseph",3600,"Tor@Bos 07:30PM ET",16.833,"Tor"
"PF/C","Kelly Olynyk",3600,"Tor@Bos 07:30PM ET",17.469,"Bos"
"SG/SF","Jeremy Lamb",3600,"Orl@Cha 07:00PM ET",18.636,"Cha"
"SG","Marco Belinelli",3600,"Orl@Cha 07:00PM ET",19.489,"Cha"
"C","Joakim Noah",3600,"NY@Sac 10:30PM ET",20.972,"NY"
"SG","J.R. Smith",3600,"Mia@Cle 07:30PM ET",17.031,"Cle"
"C","Willie Reed",3600,"Mia@Cle 07:30PM ET",9.050,"Mia"
"C","Salah Mejri",3600,"Ind@Dal 08:30PM ET",9.382,"Dal"
"SF/PF","Luol Deng",3600,"Pho@LAL 10:30PM ET",17.198,"LAL"
"PG","Ty Lawson",3500,"NY@Sac 10:30PM ET",19.286,"Sac"
"SG/SF","Justin Holiday",3500,"NY@Sac 10:30PM ET",14.352,"NY"
"PG/SG","Iman Shumpert",3500,"Mia@Cle 07:30PM ET",14.974,"Cle"
"PF","Channing Frye",3500,"Mia@Cle 07:30PM ET",18.267,"Cle"
"PG/SG","Rodney Stuckey",3500,"Ind@Dal 08:30PM ET",15.229,"Ind"
"SF/PF","Michael Beasley",3400,"Atl@Mil 08:00PM ET",15.250,"Mil"
"PF","Jared Dudley",3400,"Pho@LAL 10:30PM ET",18.476,"Pho"
"SG/SF","Tony Snell",3300,"Atl@Mil 08:00PM ET",16.803,"Mil"
"C","Montrezl Harrell",3300,"Hou@OKC 08:00PM ET",13.019,"Hou"
"PG","Ramon Sessions",3300,"Orl@Cha 07:00PM ET",12.943,"Cha"
"C","Al Jefferson",3300,"Ind@Dal 08:30PM ET",15.102,"Ind"
"PG/SG","Malcolm Brogdon",3200,"Atl@Mil 08:00PM ET",16.363,"Mil"
"PF","Domantas Sabonis",3200,"Hou@OKC 08:00PM ET",14.886,"OKC"
