"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SG","John Jenkins",3000,"Min@Pho 09:00PM ET",1.625,"Pho"
"SF","Derrick Jones Jr.",3000,"Min@Pho 09:00PM ET",0.000,"Pho"
"PF","Jordan Hill",3000,"Min@Pho 09:00PM ET",6.250,"Min"
"PF","Nemanja Bjelica",3000,"Min@Pho 09:00PM ET",15.000,"Min"
"PF","Adreian Payne",3000,"Min@Pho 09:00PM ET",11.357,"Min"
"PF","Marquese Chriss",3000,"Min@Pho 09:00PM ET",11.969,"Pho"
"PF","Dragan Bender",3000,"Min@Pho 09:00PM ET",6.818,"Pho"
"C","Nikola Pekovic",3000,"Min@Pho 09:00PM ET",0,"Min"
"PG/SG","Ian Clark",3000,"GS@LAL 10:30PM ET",11.385,"GS"
"PG","Jose Calderon",3000,"GS@LAL 10:30PM ET",10.875,"LAL"
"PG","Marcelo Huertas",3000,"GS@LAL 10:30PM ET",8.438,"LAL"
"SG/SF","Patrick McCaw",3000,"GS@LAL 10:30PM ET",9.400,"GS"
"SF","Metta World Peace",3000,"GS@LAL 10:30PM ET",3.300,"LAL"
"PF","David West",3000,"GS@LAL 10:30PM ET",11.683,"GS"
"PF","Thomas Robinson",3000,"GS@LAL 10:30PM ET",2.750,"LAL"
"PF","James Michael McAdoo",3000,"GS@LAL 10:30PM ET",2.833,"GS"
"PF","Kevon Looney",3000,"GS@LAL 10:30PM ET",8.308,"GS"
"C","Anderson Varejao",3000,"GS@LAL 10:30PM ET",7.000,"GS"
"C","JaVale McGee",3000,"GS@LAL 10:30PM ET",7.909,"GS"
"C","Tarik Black",3000,"GS@LAL 10:30PM ET",14.188,"LAL"
"C","Damian Jones",3000,"GS@LAL 10:30PM ET",0,"GS"
"C","Ivica Zubac",3000,"GS@LAL 10:30PM ET",5.333,"LAL"
