"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"C","A.J. Hammons",3000,"Dal@Cle 07:30PM ET",4.208,"Dal"
"PG","Brian Roberts",3000,"Cha@NY 07:30PM ET",4.125,"Cha"
"PG","Aaron Harrison",3000,"Cha@NY 07:30PM ET",1.375,"Cha"
"SG/SF","Jeremy Lamb",3000,"Cha@NY 07:30PM ET",12.313,"Cha"
"SG","Sasha Vujacic",3000,"Cha@NY 07:30PM ET",4.469,"NY"
"SG","Ron Baker",3000,"Cha@NY 07:30PM ET",6.250,"NY"
"SF/PF","Lance Thomas",3000,"Cha@NY 07:30PM ET",8.781,"NY"
"SF","Treveon Graham",3000,"Cha@NY 07:30PM ET",4.917,"Cha"
"SF","Mindaugas Kuzminskas",3000,"Cha@NY 07:30PM ET",8.750,"NY"
"PF","Christian Wood",3000,"Cha@NY 07:30PM ET",2.500,"Cha"
"PF","Maurice Ndour",3000,"Cha@NY 07:30PM ET",6.344,"NY"
"C","Roy Hibbert",3000,"Cha@NY 07:30PM ET",12.500,"Cha"
"C","Marshall Plumlee",3000,"Cha@NY 07:30PM ET",1.250,"NY"
"PG","T.J. McConnell",3000,"Chi@Phi 07:30PM ET",15.267,"Phi"
"PG","Michael Carter-Williams",3000,"Chi@Phi 07:30PM ET",13.583,"Chi"
"SG/SF","Hollis Thompson",3000,"Chi@Phi 07:30PM ET",14.867,"Phi"
"SG","R.J. Hunter",3000,"Chi@Phi 07:30PM ET",0.000,"Chi"
"SG","Denzel Valentine",3000,"Chi@Phi 07:30PM ET",4.955,"Chi"
"SG","Timothe Luwawu-Cabarrot",3000,"Chi@Phi 07:30PM ET",2.667,"Phi"
"SF","Ben Simmons",3000,"Chi@Phi 07:30PM ET",0,"Phi"
"SF","Paul Zipser",3000,"Chi@Phi 07:30PM ET",2.950,"Chi"
"PF","Richaun Holmes",3000,"Chi@Phi 07:30PM ET",15.875,"Phi"
"PF","Bobby Portis",3000,"Chi@Phi 07:30PM ET",9.214,"Chi"
"C","Cristiano Felicio",3000,"Chi@Phi 07:30PM ET",7.000,"Chi"
